Hilos, Iteracion, Tiempo
1, 1, 1939.63
1, 2, 1928.63
1, 3, 1931.78
1, 4, 1929.88
1, 5, 1928.38
2, 1, 970.65
2, 2, 968.18
2, 3, 966.83
2, 4, 966.77
2, 5, 966.98
3, 1, 646.30
3, 2, 649.06
3, 3, 644.56
3, 4, 644.47
3, 5, 646.19
4, 1, 486.12
4, 2, 484.24
4, 3, 484.36
4, 4, 485.56
4, 5, 485.70
5, 1, 392.24
5, 2, 388.63
5, 3, 389.65
5, 4, 391.31
5, 5, 397.99
6, 1, 334.81
6, 2, 337.13
6, 3, 339.15
6, 4, 329.21
6, 5, 334.30
7, 1, 301.19
7, 2, 302.91
7, 3, 310.77
7, 4, 310.77
7, 5, 312.78
8, 1, 277.93
8, 2, 268.94
8, 3, 267.04
8, 4, 263.56
8, 5, 279.21
9, 1, 261.63
9, 2, 262.03
9, 3, 259.63
9, 4, 261.33
9, 5, 255.07
10, 1, 248.38
10, 2, 237.36
10, 3, 231.17
10, 4, 226.35
10, 5, 228.48
11, 1, 216.13
11, 2, 231.70
11, 3, 233.08
11, 4, 229.28
11, 5, 231.73
12, 1, 197.53
12, 2, 193.60
12, 3, 214.41
12, 4, 220.63
12, 5, 203.36

