casilla_id,distrito_fed_17,distrito_fed_12,distrito_loc_17,distrito_loc_12,are,seccion,casilla,tipo_seccion,pri_pvem,pan_na,prd,pt,mc,otros,total,ln,tamano_md,tamano_gd,region,casilla_ex,rural,ln_total
2745,1,4,8,9,4-12,766,B-C,U,177,136,10,9,1,17,350,596,1,0,1,0,0,596
2762,1,4,8,9,4-8,772,B-C,U,161,172,13,15,5,12,378,644,1,0,1,0,0,644
460,1,1,2,2,1-51,2560,B-C,U,168,159,19,6,2,20,374,583,1,0,2,0,0,583
611,1,1,2,2,1-14,2943,B-C,R,158,99,2,0,0,11,270,345,0,0,2,0,1,345
423,1,1,2,2,1-48,2548,B-C,U,173,163,14,3,4,19,376,608,1,0,2,0,0,608
569,1,2,2,2,2-89,2789,B-C,R,64,71,3,2,0,4,144,140,0,0,2,0,1,140
65,1,4,8,1,4-32,800,B-C,R,72,93,6,9,7,8,195,404,0,0,1,0,1,404
28,1,4,1,1,4-14,778,B-C,R,134,110,7,3,2,25,281,582,1,0,1,0,1,582
2733,1,4,8,9,4-3,762,B-C,U,161,184,17,5,1,13,381,623,1,0,1,0,0,623
2760,1,4,8,9,4-8,772,B-C,U,158,161,11,2,2,18,352,645,1,0,1,0,0,645
489,1,1,2,2,1-40,2581,B-C,R,80,261,16,6,4,18,385,661,1,0,2,0,1,661
2736,1,4,8,9,4-5,763,B-C,U,130,145,6,1,3,0,285,453,0,0,1,0,0,453
548,1,2,2,2,2-88,2778,B-C,M,242,195,58,5,2,26,528,688,1,0,2,0,0,688
465,1,1,2,2,1-30,2563,B-C,R,33,111,2,4,1,23,174,358,0,0,2,0,1,358
297,1,1,2,2,1-5,335,B-C,R,230,156,1,0,1,0,388,489,0,0,2,0,1,489
75,1,4,8,1,4-68,812,B-C,R,49,55,4,3,0,12,123,274,0,0,1,0,1,274
541,1,1,2,2,1-18,2603,B-C,M,194,354,18,0,0,11,577,735,1,0,2,0,0,735
2789,1,4,1,9,4-27,803,E,R,91,178,7,6,0,13,295,486,1,0,1,1,1,486
32,1,4,1,1,4-13,779,E,R,42,61,10,5,1,11,130,248,0,0,1,1,1,248
567,1,2,2,2,2-89,2787,B-C,R,141,128,39,3,1,29,341,458,0,0,2,0,1,458
2794,1,4,1,9,4-26,807,B-C,R,102,84,12,3,0,21,222,519,1,0,1,0,1,519
492,1,1,2,2,1-53,2583,B-C,R,84,161,16,4,3,13,281,539,1,0,2,0,1,539
418,1,1,2,2,1-43,2545,B-C,U,148,139,12,9,3,20,331,635,1,0,2,0,0,635
2811,1,4,8,9,4-35,814,B-C,R,68,224,7,4,3,27,333,522,0,0,1,0,1,522
30,1,4,1,1,4-14,778,B-C,R,135,154,7,3,1,14,314,582,1,0,1,0,1,582
2548,2,2,9,9,2-9,149,B-C,U,148,179,13,1,6,16,363,610,1,0,2,0,0,610
5211,2,2,17,17,2-51,628,B-C,R,136,80,2,2,0,13,233,415,0,0,2,0,1,415
4562,2,12,16,15,12-64,514,B-C,M,166,217,34,7,5,0,429,688,1,0,2,0,0,688
4894,2,12,16,16,12-69,503,B-C,U,112,234,3,3,3,17,372,567,1,0,2,0,0,567
366,2,2,2,2,2-78,2522,B-C,R,128,115,17,8,0,23,291,419,0,0,2,0,1,419
2717,2,2,9,9,2-46,236,B-C,R,70,193,11,1,1,13,289,462,0,0,2,0,1,462
2606,2,2,9,9,2-18,173,B-C,U,154,171,7,3,6,18,359,610,1,0,2,0,0,610
357,2,2,2,2,2-70,2517,B-C,R,271,166,11,2,3,16,469,709,0,0,2,0,1,709
5182,2,2,17,17,2-55,614,B-C,U,90,213,7,2,2,10,324,555,1,0,2,0,0,555
5174,2,2,17,17,2-54,611,B-C,U,116,192,16,2,5,7,338,549,1,0,2,0,0,549
5257,2,2,17,17,2-61,650,B-C,U,61,219,32,9,2,10,333,587,1,0,2,0,0,587
2523,2,2,9,9,2-1,141,B-C,M,126,155,18,5,7,8,319,633,1,0,2,0,0,633
2666,2,2,9,9,2-40,205,B-C,R,153,76,18,3,1,15,266,455,0,0,2,0,1,455
4907,2,12,16,16,12-66,507,B-C,U,148,150,7,3,4,7,319,557,1,0,2,0,0,557
5226,2,2,17,17,2-58,636,B-C,U,133,146,2,1,2,15,299,585,1,0,2,0,0,585
4900,2,12,16,16,12-70,505,B-C,M,82,274,5,2,8,0,371,657,1,0,2,0,0,657
2587,2,2,9,9,2-9,164,B-C,U,122,201,11,5,2,8,349,634,1,0,2,0,0,634
5255,2,2,17,17,2-60,649,B-C,U,70,226,35,5,6,8,350,567,1,0,2,0,0,567
2610,2,2,9,9,2-15,174,B-C,U,156,156,9,6,1,21,349,598,1,0,2,0,0,598
5235,2,2,17,17,2-66,639,B-C,R,155,154,9,10,3,17,348,699,1,0,2,0,1,699
5196,2,2,17,17,2-63,620,B-C,M,104,177,5,2,3,9,300,518,1,0,2,0,0,518
4926,2,12,16,16,12-74,521,B-C,U,114,140,29,4,2,13,302,528,1,0,2,0,0,528
2529,2,2,9,9,2-2,142,B-C,U,109,150,13,6,8,19,305,562,1,0,2,0,0,562
5249,2,2,17,17,2-65,646,B-C,U,106,221,51,1,2,18,399,665,1,0,2,0,0,665
4920,2,12,16,16,12-74,519,B-C,U,326,190,47,5,0,0,568,725,1,0,2,0,0,725
